"","LTLA19CD","CLU"
"1","E06000001","G4"
"2","E06000002","G4"
"3","E06000003","G3"
"4","E06000004","G3"
"5","E06000005","G4"
"6","E06000006","G3"
"7","E06000007","G3"
"8","E06000008","G4"
"9","E06000009","G4"
"10","E06000010","G4"
"11","E06000011","G1"
"12","E06000012","G4"
"13","E06000013","G3"
"14","E06000014","G4"
"15","E06000015","G4"
"16","E06000016","G4"
"17","E06000017","G1"
"18","E06000018","G4"
"19","E06000019","G3"
"20","E06000020","G3"
"21","E06000021","G4"
"22","E06000022","G4"
"23","E06000023","G4"
"24","E06000024","G3"
"25","E06000025","G3"
"26","E06000026","G4"
"27","E06000027","G3"
"28","E06000030","G4"
"29","E06000031","G4"
"30","E06000032","G3"
"31","E06000033","G2"
"32","E06000034","G2"
"33","E06000035","G3"
"34","E06000036","G2"
"35","E06000037","G2"
"36","E06000038","G3"
"37","E06000039","G2"
"38","E06000040","G2"
"39","E06000041","G2"
"40","E06000042","G4"
"41","E06000043","G3"
"42","E06000044","G3"
"43","E06000045","G4"
"44","E06000046","G3"
"45","E06000047","G3"
"46","E06000049","G2"
"47","E06000050","G2"
"48","E06000051","G2"
"49","E06000052","G3"
"50","E06000054","G2"
"51","E06000055","G3"
"52","E06000056","G2"
"53","E06000057","G3"
"54","E06000058","G4"
"55","E06000059","G3"
"56","E07000004","G2"
"57","E07000005","G1"
"58","E07000006","G1"
"59","E07000007","G3"
"60","E07000008","G4"
"61","E07000009","G2"
"62","E07000010","G2"
"63","E07000011","G2"
"64","E07000012","G3"
"65","E07000026","G1"
"66","E07000027","G4"
"67","E07000028","G3"
"68","E07000029","G2"
"69","E07000030","G3"
"70","E07000031","G1"
"71","E07000032","G3"
"72","E07000033","G4"
"73","E07000034","G4"
"74","E07000035","G1"
"75","E07000036","G3"
"76","E07000037","G1"
"77","E07000038","G3"
"78","E07000039","G4"
"79","E07000040","G3"
"80","E07000041","G4"
"81","E07000042","G1"
"82","E07000043","G2"
"83","E07000044","G2"
"84","E07000045","G2"
"85","E07000046","G2"
"86","E07000047","G1"
"87","E07000061","G4"
"88","E07000062","G4"
"89","E07000063","G2"
"90","E07000064","G2"
"91","E07000065","G2"
"92","E07000066","G2"
"93","E07000067","G1"
"94","E07000068","G1"
"95","E07000069","G2"
"96","E07000070","G2"
"97","E07000071","G4"
"98","E07000072","G2"
"99","E07000073","G3"
"100","E07000074","G2"
"101","E07000075","G3"
"102","E07000076","G2"
"103","E07000077","G1"
"104","E07000078","G4"
"105","E07000079","G3"
"106","E07000080","G3"
"107","E07000081","G3"
"108","E07000082","G3"
"109","E07000083","G4"
"110","E07000084","G3"
"111","E07000085","G1"
"112","E07000086","G3"
"113","E07000087","G3"
"114","E07000088","G3"
"115","E07000089","G1"
"116","E07000090","G3"
"117","E07000091","G2"
"118","E07000092","G2"
"119","E07000093","G2"
"120","E07000094","G2"
"121","E07000095","G2"
"122","E07000096","G2"
"123","E07000098","G2"
"124","E07000099","G2"
"125","E07000102","G2"
"126","E07000103","G2"
"127","E07000105","G3"
"128","E07000106","G4"
"129","E07000107","G2"
"130","E07000108","G1"
"131","E07000109","G2"
"132","E07000110","G3"
"133","E07000111","G2"
"134","E07000112","G2"
"135","E07000113","G1"
"136","E07000114","G2"
"137","E07000115","G2"
"138","E07000116","G1"
"139","E07000117","G4"
"140","E07000118","G3"
"141","E07000119","G2"
"142","E07000120","G3"
"143","E07000121","G4"
"144","E07000122","G4"
"145","E07000123","G4"
"146","E07000124","G3"
"147","E07000125","G1"
"148","E07000126","G3"
"149","E07000127","G3"
"150","E07000128","G2"
"151","E07000129","G4"
"152","E07000130","G3"
"153","E07000131","G2"
"154","E07000132","G3"
"155","E07000133","G3"
"156","E07000134","G3"
"157","E07000135","G3"
"158","E07000136","G3"
"159","E07000137","G3"
"160","E07000138","G4"
"161","E07000139","G3"
"162","E07000140","G2"
"163","E07000141","G3"
"164","E07000142","G2"
"165","E07000143","G1"
"166","E07000144","G3"
"167","E07000145","G3"
"168","E07000146","G2"
"169","E07000147","G1"
"170","E07000148","G4"
"171","E07000149","G3"
"172","E07000150","G4"
"173","E07000151","G3"
"174","E07000152","G3"
"175","E07000153","G2"
"176","E07000154","G4"
"177","E07000155","G3"
"178","E07000156","G3"
"179","E07000163","G3"
"180","E07000164","G3"
"181","E07000165","G2"
"182","E07000166","G4"
"183","E07000167","G4"
"184","E07000168","G4"
"185","E07000169","G1"
"186","E07000170","G3"
"187","E07000171","G2"
"188","E07000172","G4"
"189","E07000173","G3"
"190","E07000174","G4"
"191","E07000175","G2"
"192","E07000176","G3"
"193","E07000177","G2"
"194","E07000178","G4"
"195","E07000179","G2"
"196","E07000180","G2"
"197","E07000181","G2"
"198","E07000187","G2"
"199","E07000188","G3"
"200","E07000189","G3"
"201","E07000192","G3"
"202","E07000193","G3"
"203","E07000194","G2"
"204","E07000195","G4"
"205","E07000196","G3"
"206","E07000197","G3"
"207","E07000198","G3"
"208","E07000199","G3"
"209","E07000200","G3"
"210","E07000202","G4"
"211","E07000203","G1"
"212","E07000207","G2"
"213","E07000208","G3"
"214","E07000209","G3"
"215","E07000210","G1"
"216","E07000211","G2"
"217","E07000212","G2"
"218","E07000213","G2"
"219","E07000214","G2"
"220","E07000215","G1"
"221","E07000216","G2"
"222","E07000217","G2"
"223","E07000218","G4"
"224","E07000219","G3"
"225","E07000220","G2"
"226","E07000221","G1"
"227","E07000222","G2"
"228","E07000223","G3"
"229","E07000224","G2"
"230","E07000225","G3"
"231","E07000226","G2"
"232","E07000227","G1"
"233","E07000228","G1"
"234","E07000229","G4"
"235","E07000234","G2"
"236","E07000235","G2"
"237","E07000236","G3"
"238","E07000237","G3"
"239","E07000238","G2"
"240","E07000239","G3"
"241","E07000240","G2"
"242","E07000241","G2"
"243","E07000242","G2"
"244","E07000243","G3"
"245","E07000244","G3"
"246","E07000245","G3"
"247","E07000246","G3"
"248","E08000001","G4"
"249","E08000002","G4"
"250","E08000003","G2"
"251","E08000004","G3"
"252","E08000005","G4"
"253","E08000006","G3"
"254","E08000007","G3"
"255","E08000008","G3"
"256","E08000009","G3"
"257","E08000010","G4"
"258","E08000011","G3"
"259","E08000012","G3"
"260","E08000013","G4"
"261","E08000014","G3"
"262","E08000015","G4"
"263","E08000016","G4"
"264","E08000017","G4"
"265","E08000018","G4"
"266","E08000019","G4"
"267","E08000021","G4"
"268","E08000022","G3"
"269","E08000023","G4"
"270","E08000024","G3"
"271","E08000025","G3"
"272","E08000026","G3"
"273","E08000027","G4"
"274","E08000028","G3"
"275","E08000029","G2"
"276","E08000030","G3"
"277","E08000031","G3"
"278","E08000032","G4"
"279","E08000033","G4"
"280","E08000034","G4"
"281","E08000035","G3"
"282","E08000036","G4"
"283","E08000037","G4"
"284","E09000001","G3"
"285","E09000002","G2"
"286","E09000003","G1"
"287","E09000004","G2"
"288","E09000005","G2"
"289","E09000006","G2"
"290","E09000007","G1"
"291","E09000008","G2"
"292","E09000009","G1"
"293","E09000010","G2"
"294","E09000011","G2"
"295","E09000012","G1"
"296","E09000013","G1"
"297","E09000014","G1"
"298","E09000015","G1"
"299","E09000016","G1"
"300","E09000017","G2"
"301","E09000018","G2"
"302","E09000019","G1"
"303","E09000020","G1"
"304","E09000021","G2"
"305","E09000022","G1"
"306","E09000023","G1"
"307","E09000024","G2"
"308","E09000025","G1"
"309","E09000026","G2"
"310","E09000027","G2"
"311","E09000028","G2"
"312","E09000029","G2"
"313","E09000030","G1"
"314","E09000031","G1"
"315","E09000032","G1"
"316","E09000033","G1"
